AlimentosBebidas_PlanesIncluyenBebidas,"En Lagosol tenemos puntos para la venta de alimentos y bebidas y en Lagomar tu tarifa incluye bebidas ilimitadas (jugos, gaseosas y limonadas)"
Afiliaciones_ConocerCategoria,"Categoría  A: Trabajadores cuyo salario básico no supere los 2 salarios mínimos legales mensuales vigentes. B: Trabajadores cuyo salario básico esté entre 2 y 4 salarios mínimos legales mensuales vigentes. C: Trabajadores cuyo salario básico supere los 4 salarios mínimos legales mensuales vigentes."
Reservas_DisponibilidadTarifas,"Estimado usuario para conocer nuestros planes y la disponibilidad de nuestros hoteles, puedes realizarlo directamente en la página web aquí: http://bit.ly/2Vfzkg1"
Tarifas_TarifasLagomar,"Ingresa aquí http://bit.ly/2IaQbwS y conoce los planes que tenemos en Lagomar,  encontrarás el detalle y las tarifas de acuerdo a tu categoría de afiliación"
Canal_HorarioChat,"Nuestros asesores personalizados por chat se encuentran en los siguientes horarios: lun a vie de 7:00am a 8:00pm sábados de 8:00am a 5:00pm y domingos y festivos de 10:00am a 6:00pm"
Afiliaciones_AsignacionCategoria,"La categoría se establece de acuerdo con el salario registrado en la afiliación,  y se actualizará con los datos registrados en el pago mensual del aporte."
CreditoTurismo_RequisitosCreditoTurismo,"Debes ser trabajador activo afiliado a la Caja Compensar, presentar la autorización de descuento por nómina, ser mayor de 18 y menor de 65 años. La empresa y tú deben estar a paz y salvo por todo concepto con Compensar y debes tener mínimo seis (6) meses de antigüedad en la empresa donde laboras."
SobreHoteles_CaminatasLagosol,"En Lagosol vive al natural participando en las caminatas ecológicas programadas con guía."
SobreHoteles_Lavanderia,"El servicio de lavandería para ropa de huéspedes no está habilitado."
Reservas_Requisitos_RealizarReserva,"Debes tener claras las fechas en las que realizarás tu viaje y tener a la mano los números de identificación y fechas de nacimiento de las personas que viajarán contigo."
AlimentosBebidas_VendenBebidasAlcoholicas,"En la piscina mirador de Lagomar podrás disfrutar de cócteles con y sin licor entre las 10:00am y 7:00pm, con costo adicional. En Lagosol tenemos puntos de venta de bebidas alcohólicas como cervezas y cócteles."
Afiliaciones_ComoPuedoAfiliarBeneficiarios,"Ingresa aquí http://bit.ly/2WGF2Ib donde encontrarás el tour virtual de cómo afiliar a tus beneficiarios por nuestra plataforma de transacciones en línea."
General_ActualizarDatos,"Ingresa aquí http://bit.ly/2OHEcs2 selecciona actualizar mis datos o documentose ingresa al portal transaccional para radicar o actualizar toda tu información."
General_ActualizarDatosNoSoy,"Estimado usuario, gracias por tu respuesta, actualizaremos nuestra base de datos."
Afiliaciones_AfiliacionCosto,"Puedes afiliar sin costo a la Caja de Compensación a padres, cónyuge o compañer@ permanente, hij@s y herman@s hasta los 23 años."
Afiliaciones_AQuienAfiliar,"Puedes afiliar a la Caja de compensación Compensar a: padres de cualquier edad, cónyuge o compañer@ permanente, hij@s y herman@s hasta los 23 años."
Afiliaciones_Invitados,"La categoría es personal e intransferible, y forma parte de la regulación en los servicios de las Cajas de Compensación Familiar"
Afiliaciones_MediosConsultarGrupoFamiliar,"Ingresa aquí http://bit.ly/2WD0fTk con usuario y clave de transacciones en línea y selecciona datos básicos para encontrar la información de tu grupo familiar."
AlimentosBebidas_MenuInfantil,"En los dos hoteles Lagomar y Lagosol contamos con menús infantiles para tus niños."
AlimentosBebidas_HorarioComidasLagosol,"Los horarios para realizar el consumo de los alimentos en el restaurante serán por grupos: Grupo1: Desayuno de 8 a 9 a.m., almuerzo de 12 a 1 p.m., y cena de 7 a 8p.m. "
AlimentosBebidas_HorarioComidasLagomar,"En el check in, podrás elegir una de las tres opciones de horarios de la alimentación. "
AlimentosBebidas_SnaksBebidasLagomar,"El snack será suministrado en la piscina lago, alimentos entregados por el colaborador, guardando la distancia física de 2 metros entre huéspedes que no sean del mismo grupo familiar, acatando la señalización que encontrará allí."
AlimentosBebidas_TipoAlimentacion,"En Lagomar tu reserva incluye alimentación tipo buffet y en los planes de Lagosol encontraras alimentación tipo menú."
AlimentosBebidas_PlatosCarta,"En los dos hoteles Lagomar y Lagosol contamos con el servicio de platos a la carta para todos los gustos."
Canal_OficinasHorarios,"Conoce la ubicación y horarios de nuestras sedes ingresando aquí http://bit.ly/2XQZrvp"
Canal_horarioLineaTelefonica,"Cualquier duda o información adicional que necesites no dudes en comunicarte a la línea telefónica 0313077001 en los siguientes horarios: lun a vie de 8:00am a 5:30pm sábados, domingos y festivos de 8:00am a 5:00pm"
pagos_TiempoPagoReserva,"Si realizaste la reserva presencialmente, a través del 3077001 o en el Chat en Línea, debes generar el pago mínimo del 50% en 48 horas después de haber generado la reserva, el valor restante lo debes pagar mínimo una semana antes de ingresar al hotel (el hotel no recibirá este pago).
Puedes realizar el pago con tarjeta de crédito y debito por nuestra página web, pestaña métodos de pago."
Pagos_MediosPagosReserva,"Pensando en tu comodidad, Compensar Turismo cuenta con diversos métodos de pago, consúltalos en http://bit.ly/30t5Yy6 y selecciona la pestaña métodos de pago."
Pagos_PagarConLibranzaNomina,"Actualmente no es posible pagar tu reserva con libranza, sin embargo, tenemos la opción de un crédito alojamiento con Compensar, cuya forma de pago si puede ser descuento por nomina"
